Time,Latitude,Longitude, Image
15/02/2022 12:51:14,44.37671822461829,-53.225286396251754,img_73.jpg
15/02/2022 12:51:43,45.2837199953656,-51.06795398181754,img_74.jpg
15/02/2022 12:52:12,46.14449298386902,-48.83704562074879,img_75.jpg
15/02/2022 12:52:41,46.95505745769104,-46.53491022640822,img_76.jpg
15/02/2022 12:53:09,47.71237114254564,-44.16253286937664,img_77.jpg
15/02/2022 12:53:38,48.41437796352642,-41.71828712077281,img_78.jpg
15/02/2022 12:54:07,49.0576226272524,-39.20589140881462,img_79.jpg
15/02/2022 12:54:36,49.63672169582909,-36.640472677902146,img_80.jpg
15/02/2022 12:55:04,50.154774586651804,-33.99990143482171,img_81.jpg
15/02/2022 12:55:33,50.605782610687285,-31.303762447115588,img_82.jpg
15/02/2022 12:56:02,50.987876505281385,-28.554819860104043,img_83.jpg
15/02/2022 12:56:31,51.29820709949356,-25.765845274472333,img_84.jpg
15/02/2022 12:57:00,51.53550673436243,-22.941420860630327,img_85.jpg
15/02/2022 12:57:29,51.69894029796522,-20.07679428729255,img_86.jpg
15/02/2022 12:57:57,51.78606527169732,-17.201096256544616,img_87.jpg
15/02/2022 12:58:26,51.796839465547286,-14.32985471043735,img_88.jpg
15/02/2022 12:58:55,51.73180959975724,-11.466008000749508,img_89.jpg
15/02/2022 12:59:24,51.59121645966664,-8.612220234052005,img_90.jpg
15/02/2022 12:59:52,51.37586230231657,-5.780806505045803,img_91.jpg
15/02/2022 13:00:21,51.08710409019138,-2.9822094932025838,img_92.jpg
15/02/2022 13:00:50,50.72615528928946,-0.22144340126027223,img_93.jpg
15/02/2022 13:01:19,50.294431214107576,2.4959930202646934,img_94.jpg
15/02/2022 13:01:48,49.789185051820034,5.1863943832876,img_95.jpg
15/02/2022 13:02:14,49.27342753684501,7.572241446496463,img_96.jpg
15/02/2022 13:02:38,48.768371117447955,9.656577863610707,img_97.jpg
15/02/2022 13:03:01,48.22350075614735,11.693519925969776,img_98.jpg
15/02/2022 13:03:25,47.63927607455028,13.685913222262208,img_99.jpg
15/02/2022 13:03:51,46.942755241423,15.855155289018871,img_100.jpg
15/02/2022 13:04:18,46.202399454080684,17.963285879186014,img_101.jpg
15/02/2022 13:04:41,45.50485688000738,19.79716461214713,img_102.jpg
15/02/2022 13:05:05,44.77381282370565,21.5866743067556,img_103.jpg
15/02/2022 13:05:28,44.012515368161736,23.327764917204913,img_104.jpg
15/02/2022 13:05:52,43.22215696694889,25.021889433055758,img_105.jpg
15/02/2022 13:06:15,42.40435241296801,26.66961161710942,img_106.jpg
15/02/2022 13:06:39,41.56214375149629,28.26901040814608,img_107.jpg
15/02/2022 13:07:03,40.69371821797978,29.82732856585963,img_108.jpg
15/02/2022 13:07:26,39.80171340521367,31.343220013060268,img_109.jpg
15/02/2022 13:07:50,38.887887441179956,32.81723661049995,img_110.jpg
15/02/2022 13:08:13,37.9531879637136,34.25128249998944,img_111.jpg
15/02/2022 13:08:37,36.99899297189448,35.64652965752619,img_112.jpg
15/02/2022 13:09:00,36.02649986755336,37.004406963188856,img_113.jpg
15/02/2022 13:09:24,35.03492504711353,38.32889332266222,img_114.jpg
15/02/2022 13:09:48,34.02778714067077,39.61811178240845,img_115.jpg
15/02/2022 13:10:11,33.00501396932118,40.874979280824675,img_116.jpg
15/02/2022 13:10:35,31.967742221490315,42.10073138085999,img_117.jpg
15/02/2022 13:10:58,30.917646000536447,43.29597062588751,img_118.jpg
15/02/2022 13:11:22,29.85455841063971,44.4633352222259,img_119.jpg
15/02/2022 13:11:45,28.78037253051686,45.60308333970491,img_120.jpg
15/02/2022 13:12:09,27.69490343437765,46.71764901389278,img_121.jpg
15/02/2022 13:12:33,26.59797276479359,47.80926109473647,img_122.jpg
15/02/2022 13:12:56,25.4905207604577,48.87891469925944,img_123.jpg
15/02/2022 13:13:20,24.37446219734179,49.92667488940194,img_124.jpg
15/02/2022 13:13:43,23.250734478225617,50.95355338871388,img_125.jpg
15/02/2022 13:14:07,22.1167281944565,51.96364202373408,img_126.jpg
15/02/2022 13:14:31,20.975098780111004,52.95617830108985,img_127.jpg
15/02/2022 13:14:54,19.827082903154466,53.93171675512854,img_128.jpg
15/02/2022 13:15:18,18.673277417647025,54.89133560073798,img_129.jpg
15/02/2022 13:15:41,17.514013206621602,55.83627864577486,img_130.jpg
15/02/2022 13:16:05,16.34923804695059,56.76803265881418,img_131.jpg
15/02/2022 13:16:28,15.179843334923996,57.687274528678756,img_132.jpg
